ia_rms,ia_ang,ib_rms,ib_ang,ic_rms,ic_ang,in_rms,in_ang,va_rms,va_ang,vb_rms,vb_ang,vc_rms,vc_ang
100.103,51.894,102.185,291.645,112.914,166.657,48.624,142.128,88034.938,238.607,88456.539,118.171,87718.578,358.116
100.042,59.305,102.121,298.991,112.914,174.168,48.556,150.113,88034.938,246.107,88456.773,125.67,87718.18,5.616
99.946,66.854,101.969,306.442,113.19,181.668,48.241,157.809,88034.938,253.607,88458.109,133.17,87717.797,13.116
99.946,74.458,102.221,313.853,113.008,189.164,48.466,166.303,88034.68,261.107,88458.406,140.671,87717.43,20.616
99.946,81.958,102.133,321.473,112.834,196.68,48.501,173.343,88034.648,268.608,88458.727,148.171,87716.758,28.117
99.961,89.458,101.949,328.938,112.756,204.209,48.501,180.798,88034.688,276.109,88459.766,155.672,87716.453,35.617
99.952,96.901,102.04,336.381,112.613,211.73,48.65,188.298,88034.875,283.609,88458.672,163.172,87717,43.117
99.964,104.175,102.135,343.903,112.555,219.283,48.725,196.213,88035.156,291.11,88458.297,170.672,87717,50.617
99.993,111.73,102.232,351.418,112.458,226.814,48.756,203.945,88035.344,298.61,88457.906,178.172,87716.594,58.117
100.028,119.283,102.336,358.927,112.418,234.388,48.81,211.615,88036.031,306.11,88457.516,185.672,87716.43,65.617
99.984,126.833,102.23,6.428,112.452,241.929,48.756,219.336,88036.555,313.611,88457.133,193.172,87716.07,73.117
99.984,134.287,102.542,13.934,112.452,249.385,48.889,226.57,88037.445,321.111,88456.039,200.672,87715.922,80.618
99.802,141.787,102.644,21.394,112.432,256.885,49.141,234.997,88038.414,328.612,88453.672,208.172,87715.922,88.118
99.802,149.181,102.546,28.874,112.439,264.434,49.093,244.642,88038.063,336.112,88452.75,215.673,87716.078,95.618
99.802,156.681,102.372,36.401,112.439,271.884,48.971,251.749,88038.063,343.612,88451.938,223.173,87716.352,103.119
99.727,164.181,102.372,43.966,112.439,279.383,48.971,258.427,88037.68,351.112,88451.703,230.674,87716.781,110.62
99.802,171.666,102.247,51.466,112.396,286.883,48.652,265.927,88038.461,358.612,88451.703,238.174,87717.539,118.121
99.636,179.174,102.247,59.053,112.396,294.335,48.702,271.705,88040.031,6.112,88451.703,245.674,87717.766,125.622
99.72,186.672,102.288,66.553,112.265,301.835,48.57,279.636,88041.172,13.612,88452.055,253.174,87718.031,133.122
99.894,194.166,102.288,74.002,112.122,309.249,48.378,286.283,88040.805,21.112,88452.125,260.673,87718.031,140.622
99.978,201.638,102.23,81.502,111.963,316.671,48.075,292.529,88040.133,28.612,88452.164,268.173,87718.984,148.122
99.822,209.117,102.23,89.112,112.048,324.101,48.153,298.402,88040.133,36.112,88452.297,275.673,87718.984,155.623
99.822,216.672,102.238,96.612,112.048,331.631,48.232,306.288,88039.594,43.612,88452.383,283.174,87719.352,163.123
99.822,224.172,102.228,104.057,111.953,339.131,48.232,314.14,88039.359,51.113,88452.656,290.674,87718.969,170.623
99.775,231.672,102.228,111.503,112.054,346.613,48.315,321.64,88038.758,58.613,88453.219,298.174,87718.18,178.123
99.839,239.217,102.269,119.003,111.945,354.125,47.915,329.41,88037.977,66.113,88453.219,305.675,87718.969,185.623
99.863,246.619,102.269,126.551,112.056,1.62,47.915,336.002,88037.75,73.615,88454.023,313.175,87718.586,193.123
99.849,254.067,102.201,134.051,112.39,9.118,48.331,343.502,88037.75,81.115,88454.617,320.675,87717.852,200.623
99.847,261.622,101.982,141.511,112.39,16.594,48.622,351.612,88037.75,88.615,88455.266,328.176,87717.18,208.123
